,Время,"Координаты Египта (широта, долгота)",Радиационное воздействие аэрозолей с излучением,Радиационное воздействие метана,Радиационное воздействие углекислого газа
916,2007-03-16 00:00:00,"24.00, 30.00",-3.6788930892944336,-0.1545203477144241,-0.0938622280955314
917,2007-03-16 00:00:00,"24.00, 33.00",-4.864323616027832,-0.1828012764453888,-0.1109929233789444
918,2007-04-16 00:00:00,"30.00, 27.00",0.6123514771461487,0.3487996459007263,1.3277119398117063
919,2007-04-16 00:00:00,"30.00, 30.00",0.917340099811554,0.3647430539131164,1.397553563117981
920,2007-04-16 00:00:00,"30.00, 33.00",0.840405285358429,0.3462758362293243,1.3876953125
921,2007-04-16 00:00:00,"27.00, 27.00",0.6550516486167908,0.4054290652275085,1.44639790058136
922,2007-04-16 00:00:00,"27.00, 30.00",0.974340796470642,0.4329640567302704,1.5514719486236572
923,2007-04-16 00:00:00,"27.00, 33.00",0.8430135250091553,0.4506937563419342,1.7264505624771118
924,2007-04-16 00:00:00,"24.00, 27.00",0.4584604799747467,0.4657491147518158,1.6460713148117063
925,2007-04-16 00:00:00,"24.00, 30.00",0.6343668699264526,0.4854563474655151,1.7186564207077026
926,2007-04-16 00:00:00,"24.00, 33.00",0.7168263792991638,0.5099874138832092,1.8541961908340452
927,2007-04-16 00:00:00,"30.00, 27.00",-4.22454309463501,-0.1485819518566131,-0.0906539931893348
928,2007-04-16 00:00:00,"30.00, 30.00",-5.425055027008057,-0.1613744050264358,-0.0974370315670967
929,2007-04-16 00:00:00,"30.00, 33.00",-4.989861011505127,-0.1503829956054687,-0.091112770140171
930,2007-04-16 00:00:00,"27.00, 27.00",-3.818928003311157,-0.1407984346151352,-0.0870834365487098
931,2007-04-16 00:00:00,"27.00, 30.00",-4.394680500030518,-0.1464574187994003,-0.0900431349873542
932,2007-04-16 00:00:00,"27.00, 33.00",-5.032662391662598,-0.19605153799057,-0.1199086531996727
933,2007-04-16 00:00:00,"24.00, 27.00",-2.614447116851806,-0.1504333466291427,-0.0931152328848838
934,2007-04-16 00:00:00,"24.00, 30.00",-3.843301296234131,-0.1636810302734375,-0.100246176123619
935,2007-04-16 00:00:00,"24.00, 33.00",-5.233846187591553,-0.1948633790016174,-0.1189147979021072
936,2007-05-16 00:00:00,"30.00, 27.00",0.7611792683601379,0.2888626456260681,1.2552982568740845
937,2007-05-16 00:00:00,"30.00, 30.00",0.937934160232544,0.3150674104690552,1.3252533674240112
938,2007-05-16 00:00:00,"30.00, 33.00",1.058915615081787,0.3273778259754181,1.4168641567230225
939,2007-05-16 00:00:00,"27.00, 27.00",0.6754888892173767,0.3808810412883758,1.4464023113250732
940,2007-05-16 00:00:00,"27.00, 30.00",0.7729580998420715,0.4197210371494293,1.5948594808578491
