,Время,"Координаты Судана (широта, долгота)",Радиационное воздействие аэрозолей с излучением,Радиационное воздействие углекислого газа,Радиационное воздействие метана
8025,2016-05-16 00:00:00,"21.00, 24.00",-2.6847641468048096,-0.1203943043947219,-0.1661706715822219
8026,2016-05-16 00:00:00,"21.00, 27.00",-2.8395040035247803,-0.1117155030369758,-0.1546507775783538
8027,2016-05-16 00:00:00,"21.00, 30.00",-3.5596811771392822,-0.1233830600976944,-0.170979157090187
8028,2016-05-16 00:00:00,"21.00, 33.00",-3.672021150588989,-0.1302775740623474,-0.179371491074562
8029,2016-05-16 00:00:00,"21.00, 36.00",-3.4459149837493896,-0.1438519805669784,-0.1931181848049163
8030,2016-05-16 00:00:00,"18.00, 24.00",-2.010855436325073,-0.1124941930174827,-0.1557971537113189
8031,2016-05-16 00:00:00,"18.00, 27.00",-2.3388149738311768,-0.1178559362888336,-0.1631381064653396
8032,2016-05-16 00:00:00,"18.00, 30.00",-2.593356132507324,-0.1191233992576599,-0.1655061841011047
8033,2016-05-16 00:00:00,"18.00, 33.00",-3.060584783554077,-0.1280985176563263,-0.175750732421875
8034,2016-05-16 00:00:00,"18.00, 36.00",-3.1490511894226074,-0.1325132250785827,-0.1720246374607086
8035,2016-05-16 00:00:00,"15.00, 24.00",-2.575498104095459,-0.1184948310256004,-0.1598687916994094
8036,2016-05-16 00:00:00,"15.00, 27.00",-2.76005220413208,-0.1239560022950172,-0.1688719689846038
8037,2016-05-16 00:00:00,"15.00, 30.00",-3.0319278240203857,-0.115348570048809,-0.1551858186721801
8038,2016-05-16 00:00:00,"15.00, 33.00",-6.036731719970703,-0.1332545131444931,-0.1701148301362991
8039,2016-05-16 00:00:00,"15.00, 36.00",-4.360604286193848,-0.1212064698338508,-0.1397527903318405
8040,2016-05-16 00:00:00,"12.00, 24.00",-3.450753927230835,-0.1223690882325172,-0.1384774446487426
8041,2016-05-16 00:00:00,"12.00, 27.00",-3.611073732376098,-0.1160780414938926,-0.1271780729293823
8042,2016-05-16 00:00:00,"12.00, 30.00",-3.665048360824585,-0.1190431639552116,-0.1253543943166732
8043,2016-05-16 00:00:00,"12.00, 33.00",-4.208436489105225,-0.1122013181447982,-0.1052462682127952
8044,2016-05-16 00:00:00,"12.00, 36.00",-3.3115854263305664,-0.0967643484473228,-0.0909620746970176
8045,2016-05-16 00:00:00,"9.00, 24.00",-2.851794719696045,-0.1020842492580413,-0.0897930487990379
8046,2016-05-16 00:00:00,"9.00, 27.00",-3.093513011932373,-0.1096043735742569,-0.0923038572072982
8047,2016-05-16 00:00:00,"9.00, 30.00",-3.445061683654785,-0.1022971346974372,-0.084497757256031
8048,2016-05-16 00:00:00,"9.00, 33.00",-3.671057939529419,-0.103557713329792,-0.0840941369533538
8049,2016-05-16 00:00:00,"9.00, 36.00",-3.5736751556396484,-0.0595385655760765,-0.0579587891697883
8050,2016-06-16 00:00:00,"21.00, 24.00",0.4455434083938598,2.0719308853149414,0.503369152545929
8051,2016-06-16 00:00:00,"21.00, 27.00",0.5462504029273987,1.991147875785828,0.4870341122150421
8052,2016-06-16 00:00:00,"21.00, 30.00",0.7777028679847717,2.1626312732696533,0.5329793095588684
8053,2016-06-16 00:00:00,"21.00, 33.00",0.7920634150505066,2.2848002910614014,0.5436330437660217
8054,2016-06-16 00:00:00,"21.00, 36.00",0.7738240361213684,2.217935085296631,0.4921803772449493
8055,2016-06-16 00:00:00,"18.00, 24.00",0.4294779598712921,1.989465355873108,0.483233630657196
8056,2016-06-16 00:00:00,"18.00, 27.00",0.5139963626861572,2.036687135696411,0.4925038516521454
8057,2016-06-16 00:00:00,"18.00, 30.00",0.6468943357467651,1.9942840337753296,0.469482421875
8058,2016-06-16 00:00:00,"18.00, 33.00",0.6939758062362671,1.9341278076171875,0.423715204000473
8059,2016-06-16 00:00:00,"18.00, 36.00",0.6983398199081421,1.800869703292847,0.3568745851516723
8060,2016-06-16 00:00:00,"15.00, 24.00",0.4394063353538513,1.6244628429412842,0.3460774719715118
8061,2016-06-16 00:00:00,"15.00, 27.00",0.4922047853469848,1.544402003288269,0.3216776549816131
8062,2016-06-16 00:00:00,"15.00, 30.00",0.4906107485294342,1.2791961431503296,0.2226888090372085
8063,2016-06-16 00:00:00,"15.00, 33.00",0.6258178949356079,1.1027190685272217,0.165679931640625
8064,2016-06-16 00:00:00,"15.00, 36.00",0.6090555787086487,1.1511006355285645,0.145791620016098
8065,2016-06-16 00:00:00,"12.00, 24.00",0.3954305052757263,0.7636190056800842,0.0728881806135177
8066,2016-06-16 00:00:00,"12.00, 27.00",0.4342844784259796,0.7705098390579224,0.057324219495058
8067,2016-06-16 00:00:00,"12.00, 30.00",0.3738901913166046,0.7022796869277954,0.0465189628303051
8068,2016-06-16 00:00:00,"12.00, 33.00",0.4236826598644256,0.6673828363418579,0.0467132553458213
8069,2016-06-16 00:00:00,"12.00, 36.00",0.4530558288097381,0.7730763554573059,0.0686818435788154
8070,2016-06-16 00:00:00,"9.00, 24.00",0.2443837523460388,0.4561096131801605,0.0177785232663154
8071,2016-06-16 00:00:00,"9.00, 27.00",0.2734781801700592,0.524505615234375,-0.0006835937383584
8072,2016-06-16 00:00:00,"9.00, 30.00",0.3523203432559967,0.4907806515693664,-0.0036987303756177
8073,2016-06-16 00:00:00,"9.00, 33.00",0.3831512331962585,0.56475830078125,0.018829345703125
8074,2016-06-16 00:00:00,"9.00, 36.00",0.385397344827652,0.4661214053630829,0.0660034194588661
8075,2016-06-16 00:00:00,"21.00, 24.00",-3.170687437057495,-0.1195302307605743,-0.1624705046415329
8076,2016-06-16 00:00:00,"21.00, 27.00",-3.5050292015075684,-0.1105311065912246,-0.1508366912603378
8077,2016-06-16 00:00:00,"21.00, 30.00",-4.998719692230225,-0.123452253639698,-0.1701573729515075
8078,2016-06-16 00:00:00,"21.00, 33.00",-5.421739101409912,-0.1347473114728927,-0.1847986876964569
